Tipologia,CAP,Coordinate,Indirizzo,UPL_#,UPL_nome,Id_Quartie,Quartiere,Circoscrizione,Utenti_potenz,lat,lng,googlemaps,osm
Fontanella,90133,"38.120135, 13.365852","Piazza Tavola Tonda, 18",4,Castellammare o Loggia,1,Tribunali-Castellammare,I,1967,38.120135,13.365852,"https://maps.google.com/?q=38.120135,13.365852",https://www.openstreetmap.org/?mlat=38.120135&mlon=13.365852&zoom=18#map=18/38.120135/13.365852
Fontanella,90134,"38.112656, 13.355584",Piazza Vittoria,2,Palazzo Reale o Albergaria,2,Palazzo Reale - Monte di Pietà,I,3035,38.112656,13.355584,"https://maps.google.com/?q=38.112656,13.355584",https://www.openstreetmap.org/?mlat=38.112656&mlon=13.355584&zoom=18#map=18/38.112656/13.355584
Fontanella,90129,"38.104312, 13.341897","Via Agostino Catalano, 80",18,Cuba - Calatafimi,5,Cuba - Calatafimi,IV,9654,38.104312,13.341897,"https://maps.google.com/?q=38.104312,13.341897",https://www.openstreetmap.org/?mlat=38.104312&mlon=13.341897&zoom=18#map=18/38.104312/13.341897
Fontanella,90134,"38.116226, 13.356055","Piazza San Giovannialla Guilla, 4",3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,491,38.116226,13.356055,"https://maps.google.com/?q=38.116226,13.356055",https://www.openstreetmap.org/?mlat=38.116226&mlon=13.356055&zoom=18#map=18/38.116226/13.356055
Fontanella,90134,"38.115866, 13.359141","Piazzetta della Canna, 2",3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,755,38.115866,13.359141,"https://maps.google.com/?q=38.115866,13.359141",https://www.openstreetmap.org/?mlat=38.115866&mlon=13.359141&zoom=18#map=18/38.115866/13.359141
Fontanella,90134,"38.109595, 13.35887","Piazza Ritiro San Pietro, 20",2,Palazzo Reale o Albergaria,2,Palazzo Reale - Monte di Pietà,I,7071,38.109595,13.35887,"https://maps.google.com/?q=38.109595,13.35887",https://www.openstreetmap.org/?mlat=38.109595&mlon=13.35887&zoom=18#map=18/38.109595/13.35887
Fontanella,90134,"38.1169, 13.358557","Piazzetta delle Api, 6",3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,1332,38.1169,13.358557,"https://maps.google.com/?q=38.1169,13.358557",https://www.openstreetmap.org/?mlat=38.1169&mlon=13.358557&zoom=18#map=18/38.1169/13.358557
Fontana,90141,"38.131958, 13.350762",Via della Libertà Giardino Inglese,39,Notarbartolo - Giardino Inglese,9,Libertà,VIII,12687,38.131958,13.350762,"https://maps.google.com/?q=38.131958,13.350762",https://www.openstreetmap.org/?mlat=38.131958&mlon=13.350762&zoom=18#map=18/38.131958/13.350762
Fontanella,90126,"38.07816, 13.333445",Piazza Villagrazia,15,Villagrazia,13,Villagrazia - Falsomiele,III,4078,38.07816,13.333445,"https://maps.google.com/?q=38.07816,13.333445",https://www.openstreetmap.org/?mlat=38.07816&mlon=13.333445&zoom=18#map=18/38.07816/13.333445
Fontanella,90124,"38.076736, 13.369887",Fondo Pecoraro (Via Falsomiele),14,Chiavelli - S.Maria di Gesù,13,Villagrazia - Falsomiele,III,2926,38.076736,13.369887,"https://maps.google.com/?q=38.076736,13.369887",https://www.openstreetmap.org/?mlat=38.076736&mlon=13.369887&zoom=18#map=18/38.076736/13.369887
Fontanella,90135,"38.110006, 13.325337",Via Madonna Del Soccorso 3,23,Altarello - Tasca Lanza,15,Altarello,IV,2277,38.110006,13.325337,"https://maps.google.com/?q=38.110006,13.325337",https://www.openstreetmap.org/?mlat=38.110006&mlon=13.325337&zoom=18#map=18/38.110006/13.325337
Fontanella,90151,"38.196577, 13.312688","Via Lorenzo Iandolino, 54",50,Partanna Mondello,22,Partanna Mondello,VII,88,38.196577,13.312688,"https://maps.google.com/?q=38.196577,13.312688",https://www.openstreetmap.org/?mlat=38.196577&mlon=13.312688&zoom=18#map=18/38.196577/13.312688
Fontanella,90142,"38.147660, 13.363620",Via Cortile Castellana Bandiera,52,Montepellegrino,24,Montepellegrino,VIII,1601,38.14766,13.36362,"https://maps.google.com/?q=38.14766,13.36362",https://www.openstreetmap.org/?mlat=38.14766&mlon=13.36362&zoom=18#map=18/38.14766/13.36362
