fid,tp_id,n,lng,lat,Tipologia,Coordinate,Indirizzo,UPL,UPL_nome,Quartiere,Circoscrizione,Id_Quartie,CAP,indizizzo_link
51,tp_051,51,13.383327,38.10695,Fontanella,"38.10695, 13.383327","Via Messina Marine, 50",6,Settecannoli,Settecannoli,II,11,90123,"<a href=""https://maps.google.com/?q=38.10695,13.383327"" title=""Via Messina Marine, 50"">Via Messina Marine, 50</a>"
52,tp_052,52,13.356896,38.115596,Fontana,"38.115596, 13.356896",Piazzetta Vincenzo Di Giovanni,3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.115596,13.356896"" title=""Piazzetta Vincenzo Di Giovanni"">Piazzetta Vincenzo Di Giovanni</a>"
53,tp_053,53,13.35538,38.117089,Fontana,"38.117089, 13.35538","Vicolo degli Orfani, 15",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.117089,13.35538"" title=""Vicolo degli Orfani, 15"">Vicolo degli Orfani, 15</a>"
54,tp_054,54,13.361753,38.079678,Fontanella,"38.079678, 13.361753","Largo Parisi, 18",14,Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III,13,90125,"<a href=""https://maps.google.com/?q=38.079678,13.361753"" title=""Largo Parisi, 18"">Largo Parisi, 18</a>"
55,tp_055,55,13.329823,38.140232,Fontanella,"38.140232, 13.329823","Via Conceria, 32",38,Cruillas,Cruillas - S.Giovanni Apostolo,VI,19,90145,"<a href=""https://maps.google.com/?q=38.140232,13.329823"" title=""Via Conceria, 32"">Via Conceria, 32</a>"
56,tp_056,56,13.305624,38.109069,Fontana,"38.109069, 13.305624",Via Baida 106,24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.109069,13.305624"" title=""Via Baida 106"">Via Baida 106</a>"
57,tp_057,57,13.2863,38.190045,Fontanella,"38.190045, 13.2863","Piazza Rossi, 1",48,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.190045,13.2863"" title=""Piazza Rossi, 1"">Piazza Rossi, 1</a>"
58,tp_058,58,13.370337,38.103486,Fontana,"38.103486, 13.370337",Fondo Napolitano,10,Oreto Perez,Oreto - Stazione,III,3,90124,"<a href=""https://maps.google.com/?q=38.103486,13.370337"" title=""Fondo Napolitano"">Fondo Napolitano</a>"
59,tp_059,59,13.378209,38.114806,Fontana,"38.114806, 13.378209",Villa a Mare,5,Corso dei Mille - S.Erasmo,Oreto - Stazione,II,3,90123,"<a href=""https://maps.google.com/?q=38.114806,13.378209"" title=""Villa a Mare"">Villa a Mare</a>"
60,tp_060,60,13.357784,38.148121,Fontana,"38.148121, 13.357784",Piazza Gen. Cascino,52,Montepellegrino,Montepellegrino,VIII,24,90142,"<a href=""https://maps.google.com/?q=38.148121,13.357784"" title=""Piazza Gen. Cascino"">Piazza Gen. Cascino</a>"
