id,id_1,n,Nome,Indirizzo,Coordinate,X,Y,maps,osm
tp_053,053,53,FONTANA,"VICOLO DEGLI ORFANI, 15 ","38.117089, 13.35538",13.35538,38.117089,"https://maps.google.com/?q=38.117089,13.35538",https://www.openstreetmap.org/?mlat=38.117089&mlon=13.35538&zoom=18#map=18/38.117089/13.35538
tp_054,054,54,FONTANELLA,"LARGO PARISI, 18 ","38.079678, 13.361753",13.361753,38.079678,"https://maps.google.com/?q=38.079678,13.361753",https://www.openstreetmap.org/?mlat=38.079678&mlon=13.361753&zoom=18#map=18/38.079678/13.361753
tp_055,055,55,FONTANELLA,"VIA CONCERIA, 32 ","38.140232, 13.329823",13.329823,38.140232,"https://maps.google.com/?q=38.140232,13.329823",https://www.openstreetmap.org/?mlat=38.140232&mlon=13.329823&zoom=18#map=18/38.140232/13.329823
tp_056,056,56,FONTANA,VIA BAIDA 106,"38.109069, 13.305624",13.305624,38.109069,"https://maps.google.com/?q=38.109069,13.305624",https://www.openstreetmap.org/?mlat=38.109069&mlon=13.305624&zoom=18#map=18/38.109069/13.305624
tp_057,057,57,FONTANELLA,"PIAZZA ROSSI, 1","38.190045, 13.2863",13.2863,38.190045,"https://maps.google.com/?q=38.190045,13.2863",https://www.openstreetmap.org/?mlat=38.190045&mlon=13.2863&zoom=18#map=18/38.190045/13.2863
tp_058,058,58,FONTANA,FONDO NAPOLITANO,"38.103486, 13.370337",13.370337,38.103486,"https://maps.google.com/?q=38.103486,13.370337",https://www.openstreetmap.org/?mlat=38.103486&mlon=13.370337&zoom=18#map=18/38.103486/13.370337
tp_059,059,59,FONTANA,VILLA A MARE,"38.114806, 13.378209",13.378209,38.114806,"https://maps.google.com/?q=38.114806,13.378209",https://www.openstreetmap.org/?mlat=38.114806&mlon=13.378209&zoom=18#map=18/38.114806/13.378209
tp_060,060,60,FONTANA,PIAZZA GEN. CASCINO,"38.148121, 13.357784",13.357784,38.148121,"https://maps.google.com/?q=38.148121,13.357784",https://www.openstreetmap.org/?mlat=38.148121&mlon=13.357784&zoom=18#map=18/38.148121/13.357784
tp_061,061,61,FONTANA,"VIA VOLTURNO, 2","38.119865, 13.355500",13.3555,38.119865,"https://maps.google.com/?q=38.119865,13.3555",https://www.openstreetmap.org/?mlat=38.119865&mlon=13.3555&zoom=18#map=18/38.119865/13.3555
tp_062,062,62,FONTANELLA,"PIAZZA SFERRACAVALLO, 8","38.197942, 13.276838",13.276838,38.197942,"https://maps.google.com/?q=38.197942,13.276838",https://www.openstreetmap.org/?mlat=38.197942&mlon=13.276838&zoom=18#map=18/38.197942/13.276838
tp_063,063,63,FONTANELLA,"PIAZZA MANDORLE, 10","38.188327, 13.289097",13.289097,38.188327,"https://maps.google.com/?q=38.188327,13.289097",https://www.openstreetmap.org/?mlat=38.188327&mlon=13.289097&zoom=18#map=18/38.188327/13.289097
tp_064,064,64,FONTANELLA,"VIA DI BENEDETTO, 19","38.187864, 13.286906",13.286906,38.187864,"https://maps.google.com/?q=38.187864,13.286906",https://www.openstreetmap.org/?mlat=38.187864&mlon=13.286906&zoom=18#map=18/38.187864/13.286906
tp_065,065,65,FONTANELLA,"PIAZZA PIETRO MICCA, 18","38.109259, 13.308583",13.308583,38.109259,"https://maps.google.com/?q=38.109259,13.308583",https://www.openstreetmap.org/?mlat=38.109259&mlon=13.308583&zoom=18#map=18/38.109259/13.308583
tp_066,066,66,FONTANELLA,"VIA UMBERTO MADDALENA, 232","38.108181, 13.308868",13.308868,38.108181,"https://maps.google.com/?q=38.108181,13.308868",https://www.openstreetmap.org/?mlat=38.108181&mlon=13.308868&zoom=18#map=18/38.108181/13.308868
tp_067,067,67,FONTANELLA,"VIA ASILO INFANTILE, 1","38.195186, 13.312224",13.312224,38.195186,"https://maps.google.com/?q=38.195186,13.312224",https://www.openstreetmap.org/?mlat=38.195186&mlon=13.312224&zoom=18#map=18/38.195186/13.312224
